,DIR0.0,CIR Same0.0,CIR Max0.0,Average Recall0.0,Average Precision0.0,F1_score0.0,IOU0.0,DIR0.1,CIR Same0.1,CIR Max0.1,Average Recall0.1,Average Precision0.1,F1_score0.1,IOU0.1,DIR0.2,CIR Same0.2,CIR Max0.2,Average Recall0.2,Average Precision0.2,F1_score0.2,IOU0.2,DIR0.3,CIR Same0.3,CIR Max0.3,Average Recall0.3,Average Precision0.3,F1_score0.3,IOU0.3,DIR0.4,CIR Same0.4,CIR Max0.4,Average Recall0.4,Average Precision0.4,F1_score0.4,IOU0.4,DIR0.5,CIR Same0.5,CIR Max0.5,Average Recall0.5,Average Precision0.5,F1_score0.5,IOU0.5,DIR0.6,CIR Same0.6,CIR Max0.6,Average Recall0.6,Average Precision0.6,F1_score0.6,IOU0.6,DIR0.7,CIR Same0.7,CIR Max0.7,Average Recall0.7,Average Precision0.7,F1_score0.7,IOU0.7,DIR0.8,CIR Same0.8,CIR Max0.8,Average Recall0.8,Average Precision0.8,F1_score0.8,IOU0.8,DIR0.9,CIR Same0.9,CIR Max0.9,Average Recall0.9,Average Precision0.9,F1_score0.9,IOU0.9
Baseline_black,0.04600000008940697,0.0012268273858353496,0.001002254313789308,5.971498103463091e-05,0.7200000286102295,0.0,5.971498103463091e-05,0.04600000008940697,0.0012268273858353496,0.001002254313789308,5.971498103463091e-05,0.7200000286102295,0.0,5.971498103463091e-05,0.04600000008940697,0.0012268273858353496,0.001002254313789308,5.971498103463091e-05,0.7200000286102295,0.0,5.971498103463091e-05,0.04600000008940697,0.0012268273858353496,0.001002254313789308,5.971498103463091e-05,0.7200000286102295,0.0,5.971498103463091e-05,0.04600000008940697,0.0012268273858353496,0.001002254313789308,5.971498103463091e-05,0.7200000286102295,0.0,5.971498103463091e-05,0.04600000008940697,0.0012268273858353496,0.001002254313789308,5.971498103463091e-05,0.7200000286102295,0.0,5.971498103463091e-05,0.04600000008940697,0.0012268273858353496,0.001002254313789308,5.971498103463091e-05,0.7200000286102295,0.0,5.971498103463091e-05,0.04600000008940697,0.0012268273858353496,0.001002254313789308,5.971498103463091e-05,0.7200000286102295,0.0,5.971498103463091e-05,0.04600000008940697,0.0012268273858353496,0.001002254313789308,5.971498103463091e-05,0.7200000286102295,0.0,5.971498103463091e-05,0.04600000008940697,0.0012268273858353496,0.001002254313789308,5.971498103463091e-05,0.7200000286102295,0.0,5.971498103463091e-05
Baseline_white,1.0,0.3717304766178131,0.3717304766178131,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517,1.0,0.3717304766178131,0.3717304766178131,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517,1.0,0.3717304766178131,0.3717304766178131,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517,1.0,0.3717304766178131,0.3717304766178131,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517,1.0,0.3717304766178131,0.3717304766178131,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517,1.0,0.3717304766178131,0.3717304766178131,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517,1.0,0.3717304766178131,0.3717304766178131,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517,1.0,0.3717304766178131,0.3717304766178131,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517,1.0,0.3717304766178131,0.3717304766178131,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517,1.0,0.3717304766178131,0.3717304766178131,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517
Baseline_masks,0.8199999928474426,0.09891306608915329,-0.252740740776062,1.0,1.0,1.0,1.0,0.8199999928474426,0.09891306608915329,-0.252740740776062,1.0,1.0,1.0,1.0,0.8199999928474426,0.09891306608915329,-0.252740740776062,1.0,1.0,1.0,1.0,0.8199999928474426,0.09891306608915329,-0.252740740776062,1.0,1.0,1.0,1.0,0.8199999928474426,0.09891306608915329,-0.252740740776062,1.0,1.0,1.0,1.0,0.8199999928474426,0.09891306608915329,-0.252740740776062,1.0,1.0,1.0,1.0,0.8199999928474426,0.09891306608915329,-0.252740740776062,1.0,1.0,1.0,1.0,0.8199999928474426,0.09891306608915329,-0.252740740776062,1.0,1.0,1.0,1.0,0.8199999928474426,0.09891306608915329,-0.252740740776062,1.0,1.0,1.0,1.0,0.8199999928474426,0.09891306608915329,-0.252740740776062,1.0,1.0,1.0,1.0
Gradients,1.0,0.37173045516014097,0.37173045516014097,1.0,0.363175705075264,0.4877917841076851,0.363175705075264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saliency,1.0,0.37173045516014097,0.37173045516014097,1.0,0.3632016932964325,0.4878181537985802,0.3632016932964325,0.5720000065863132,0.05712251296034082,-0.050409860189538434,0.049759052437730114,0.5349349457025528,0.07059968561865387,0.039478477903176074,0.3840000054240227,0.028145308590173935,-0.01614805110439191,0.011677980763743056,0.5112286876142025,0.012185006309300637,0.010042833426923563,0.21800000444054604,0.010997873167871144,-0.008753835487295854,0.004357329738877477,0.44453742288053033,0.002917914250865566,0.003972198226974759,0.15000000312924386,0.005326885578397184,-0.0029337931211921337,0.0020333254221895523,0.38191651087254286,0.000823670714162284,0.0019246853650474423,0.1260000029206276,0.0014408324708347102,-0.003952752101758952,0.001106250714296916,0.3294906432181597,5.110079422593e-05,0.0010718511274444315,0.0800000013411045,0.0018009035706345498,-0.0021169109839538364,0.0006421254072210842,0.26623942792415617,0.0,0.0006307898745126034,0.05200000077486038,0.0010251438728810318,-0.001075132102072506,0.0003860627993799242,0.19846843339502812,0.0,0.00038177496650858365,0.05000000074505806,0.0008369884396415736,-0.00043501652884514686,0.0002424049295995951,0.1660986103862524,0.0,0.00024094933290596407,0.04000000059604645,0.000666353475062355,-0.0002634290101559516,0.00016148114138785357,0.14749194771051408,0.0,0.00016085019904720939
Occlusion 25,0.7180000030994416,0.061995489366236126,-0.09850834865588692,0.52125981092453,0.36674657732248306,0.37273432970047,0.25036309510469434,0.4500000064074993,0.019022374180494798,-0.04033030737191437,0.19374971974641084,0.5421814005076885,0.18321708381175994,0.13409909928217528,0.30600000694394114,0.011417114789073807,-0.02016742252453694,0.08394311265088616,0.4710519750416279,0.01944569557905197,0.05924832498654722,0.2060000042617321,0.005848451542406107,-0.013927020591945583,0.046336256915237746,0.31257590994238854,0.0,0.033058309073094254,0.1600000037252903,0.003988038734241856,-0.009575022131903073,0.029654147665714822,0.2133408487960696,0.0,0.021217914688168055,0.12000000178813934,0.003374009313702116,-0.007203310315962865,0.021061752286623197,0.14652808601036668,0.0,0.015073041514260659,0.07600000113248825,0.0029788121915771586,-0.0056972710089758,0.01675508331623856,0.1205712867900729,0.0,0.011681128682102972,0.06800000116229057,0.0027124214693321834,-0.004214591171185007,0.013444124821935442,0.0820297953597037,0.0,0.00897876468581668,0.058000001311302174,0.003037085231626402,-0.0025688442224054563,0.010673121161526048,0.06743308005854487,0.0,0.00695138688548465,0.04800000116229056,0.0024630026018712657,-0.002689610483357676,0.009423509869957325,0.04958755280822514,0.0,0.0061763636476825715
Occlusion 15,0.8379999971389771,0.13252484461292624,-0.15138995334506034,0.5151606625318528,0.3649748376011848,0.3763267332315445,0.24819573283195495,0.4720000073313713,0.03882772315468173,-0.03379890136769972,0.11181107740849255,0.6135034668445587,0.11882486276328562,0.08019457818241787,0.30800000444054604,0.0181489552464336,-0.02025811253290155,0.043022280155273596,0.4863326367735863,0.005147263407707212,0.030664695661107518,0.1760000029206276,0.009937223422341499,-0.008157553725584405,0.023102221229610188,0.32746115744113924,0.0,0.01655504118946733,0.12200000211596489,0.006397117841988802,-0.005682322265347447,0.014430144030102341,0.21524463310837746,0.0,0.01038932755493074,0.07200000181794165,0.004902128152025391,-0.002603200494486364,0.010488102386630062,0.15493218082934618,0.0,0.007735886057985198,0.05000000089406966,0.0027670988048203054,-0.0018524244114587357,0.007938516784793109,0.10919860836118458,0.0,0.00578930949036928,0.04000000074505805,0.002106979655218304,-0.0017382133322826137,0.006618245078452655,0.06598486626520753,0.0,0.0047251284688081575,0.02000000044703483,0.0008089949786699481,-0.001785937645236108,0.005834463918818056,0.046807675026357166,0.0,0.004175491457226576,0.01800000041723251,0.000610706848383416,-0.001369055271788964,0.005149294680486477,0.03502370666712522,0.0,0.003629916284735357
Min Aggregate,0.7419999837875366,0.07019216567277908,-0.09660229831933975,0.38989177346229553,0.36847493052482605,0.0,0.20732083916664124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avg Aggregate,0.8379999995231628,0.15026229619979858,-0.1675383448600769,0.5788252353668213,0.36207690834999084,0.39477282762527466,0.26628950238227844,0.36800000071525574,0.02161744050681591,-0.029371455311775208,0.06922885030508041,0.5407606363296509,0.0,0.04853593930602074,0.20999999344348907,0.007720974273979664,-0.009322256781160831,0.02262752130627632,0.330690860748291,0.0,0.01604103296995163,0.10000000149011612,0.00404850160703063,-0.003568541957065463,0.012629969976842403,0.1728445142507553,0.0,0.008747666142880917,0.052000001072883606,0.002165856072679162,-0.0024032460059970617,0.009049267508089542,0.10033673793077469,0.0,0.006171670276671648,0.029999999329447746,0.0009361653355881572,-0.0022773921955376863,0.006019351538270712,0.06241311877965927,0.0,0.003992332145571709,0.02199999988079071,0.000959959754254669,-0.0017272072145715356,0.004759966395795345,0.038001514971256256,0.0,0.0030657248571515083,0.017999999225139618,0.0003318264789413661,-0.0016927543329074979,0.004104697611182928,0.022551538422703743,0.0,0.0025375511031597853,0.009999999776482582,0.0009180190390907228,-0.0005544646992348135,0.0034052892588078976,0.01438501849770546,0.0,0.0020038129296153784,0.004000000189989805,0.0011992265935987234,-0.00015648955013602972,0.0028209073934704065,0.011114664375782013,0.0,0.0016042186180129647
Max Aggregate,1.0,0.3717304766178131,0.3717304766178131,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517,0.6620000004768372,0.08049558848142624,-0.07937021553516388,0.24958156049251556,0.5527626872062683,0.0,0.16606174409389496,0.47200000286102295,0.03960341215133667,-0.03693143278360367,0.10122759640216827,0.561547040939331,0.0,0.06976420432329178,0.3100000023841858,0.019687989726662636,-0.02508726343512535,0.05389866605401039,0.49189576506614685,0.0,0.037695083767175674,0.24799999594688416,0.012318025343120098,-0.012681480497121811,0.033787231892347336,0.4196189045906067,0.0,0.023660121485590935,0.20399999618530273,0.009184416383504868,-0.008603272959589958,0.02374189905822277,0.36149096488952637,0.0,0.016836242750287056,0.12999999523162842,0.006247392389923334,-0.007048773113638163,0.018480151891708374,0.3060601055622101,0.0,0.012874250300228596,0.1080000028014183,0.0033327918499708176,-0.005773609038442373,0.014462476596236229,0.23073221743106842,0.0,0.009723939001560211,0.09799999743700027,0.003915479406714439,-0.004064216278493404,0.011943114921450615,0.20160885155200958,0.0,0.008095473051071167,0.0820000022649765,0.0023684308398514986,-0.003854783484712243,0.010429779067635536,0.17475757002830505,0.0,0.007095309440046549
SE,1.0,0.3717304766178131,0.3717304766178131,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517,0.9819999933242798,0.335781991481781,0.010743006132543087,0.9919143319129944,0.3756299316883087,0.49797359108924866,0.37279650568962097,0.9440000057220459,0.242034912109375,-0.21228761970996857,0.9350370764732361,0.42165708541870117,0.5270435214042664,0.39757096767425537,0.9079999923706055,0.15762850642204285,-0.24420969188213348,0.8121804594993591,0.48036888241767883,0.5402427911758423,0.40349826216697693,0.843999981880188,0.1048475056886673,-0.22021570801734924,0.6537343859672546,0.5404791235923767,0.0,0.3784586191177368,0.777999997138977,0.06612687557935715,-0.1617959886789322,0.46944257616996765,0.5980020761489868,0.0,0.3168078064918518,0.621999979019165,0.024193650111556053,-0.08751613646745682,0.26520463824272156,0.6510409712791443,0.0,0.20860709249973297,0.28999999165534973,0.007721611764281988,-0.01440179068595171,0.04733215644955635,0.6966922879219055,0.0,0.04152323678135872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SES,1.0,0.3717287480831146,0.3716915547847748,1.0,0.36317571997642517,0.4877917468547821,0.36317571997642517,0.9879999756813049,0.3393102288246155,0.010916524566709995,0.9922938942909241,0.3754728436470032,0.4979711174964905,0.37279385328292847,0.9380000233650208,0.24089279770851135,-0.21370428800582886,0.9376273155212402,0.4220688045024872,0.5280550718307495,0.39874541759490967,0.8939999938011169,0.15583984553813934,-0.2359752506017685,0.8156325817108154,0.48148876428604126,0.54246586561203,0.4057636857032776,0.8379999995231628,0.09849806874990463,-0.223539337515831,0.6570673584938049,0.5421062707901001,0.0,0.3813110291957855,0.765999972820282,0.06803719699382782,-0.16537417471408844,0.47225120663642883,0.5998349785804749,0.0,0.3193695843219757,0.6240000128746033,0.0305954460054636,-0.08856988698244095,0.27189451456069946,0.6524802446365356,0.0,0.21360214054584503,0.2759999930858612,0.00025433505652472377,-0.017829827964305878,0.050102800130844116,0.7018591165542603,0.0,0.04644813388586044,0.0020000000949949026,8.214795525418594e-05,-4.2877195483015385e-06,4.341415660746861e-06,0.014000000432133675,0.0,4.341415660746861e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEWOD,0.9620000123977661,0.2848392128944397,-0.2049921303987503,0.8472582101821899,0.3788752257823944,0.47313717007637024,0.34232163429260254,0.9459999799728394,0.25294408202171326,-0.2222314476966858,0.7619441151618958,0.3934909701347351,0.464242547750473,0.3305555284023285,0.9200000166893005,0.2155911922454834,-0.22491323947906494,0.6744949221611023,0.40841224789619446,0.44818007946014404,0.31325259804725647,0.8939999938011169,0.18659807741641998,-0.20087936520576477,0.5905283093452454,0.4211553931236267,0.4256786108016968,0.29203668236732483,0.8479999899864197,0.15776634216308594,-0.18594613671302795,0.5162142515182495,0.43436282873153687,0.0,0.27009832859039307,0.8199999928474426,0.1429651528596878,-0.1645234078168869,0.4477269649505615,0.448708713054657,0.0,0.2468256652355194,0.7860000133514404,0.11345688998699188,-0.14793747663497925,0.3862592875957489,0.46105238795280457,0.0,0.22391441464424133,0.7519999742507935,0.10244632512331009,-0.1261380910873413,0.33357346057891846,0.471623957157135,0.0,0.20199155807495117,0.6980000138282776,0.09335499256849289,-0.11273711919784546,0.28830963373184204,0.4748430848121643,0.0,0.18094909191131592,0.6880000233650208,0.07882639020681381,-0.09770477563142776,0.25001394748687744,0.4836277961730957,0.0,0.16165487468242645
SEWODS,0.9660000205039978,0.2781662344932556,-0.20861870050430298,0.8280566930770874,0.380862832069397,0.46755802631378174,0.33593112230300903,0.9459999799728394,0.2523849308490753,-0.22532883286476135,0.744961142539978,0.39694103598594666,0.4577076733112335,0.3232005834579468,0.906000018119812,0.2136635035276413,-0.20917342603206635,0.6561277508735657,0.4121488630771637,0.43916046619415283,0.30385681986808777,0.8840000033378601,0.18973927199840546,-0.21266253292560577,0.5735318660736084,0.4284714460372925,0.4149431586265564,0.2812996506690979,0.8679999709129333,0.16358143091201782,-0.18800954520702362,0.4960417151451111,0.4412975609302521,0.0,0.2561705708503723,0.8360000252723694,0.13973884284496307,-0.15820583701133728,0.42738205194473267,0.45383214950561523,0.0,0.23138734698295593,0.7979999780654907,0.11682064831256866,-0.13971766829490662,0.3673933744430542,0.46539992094039917,0.0,0.20761345326900482,0.7699999809265137,0.09405002743005753,-0.12811358273029327,0.31508830189704895,0.4702974855899811,0.0,0.18487794697284698,0.7360000014305115,0.08470097184181213,-0.10791781544685364,0.26961883902549744,0.4750407040119171,0.0,0.1631586253643036,0.7039999961853027,0.0716642290353775,-0.09665697813034058,0.23083776235580444,0.4813196361064911,0.0,0.14357638359069824
